episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
0,1.0,0.32251057083500084,2.6912131553921266,-84.00662650170733,0.0,0.6,2,0.0,False,True,0.6062762235845252,1,23.11822180235112,2.363,prepare,0.0,0
0,2.0,0.3224755376564966,2.6912685554991858,-84.01894392162073,0.0,0.6,2,1.0,False,True,0.6060220712374803,1,23.11822180235112,2.44,in_progress,0.0,0
0,3.0,0.3234338266206681,2.6787386628163636,-84.11808434523259,0.0,0.6,2,1.0,False,True,0.6602913791622164,1,23.11822180235112,2.496,in_progress,0.0,0
0,4.0,0.3250754504012967,2.6584603496293226,-84.23478562743465,0.0,0.6,2,1.0,False,True,0.7481318890310242,1,23.11822180235112,2.5700000000000003,in_progress,0.0,0
0,5.0,0.32730616876005053,2.6233901548756973,-84.629322995378,0.0,0.6,2,1.0,False,True,0.8996759614163521,1,23.11822180235112,2.633,in_progress,0.0,0
0,6.0,0.33124744029893927,2.5863373181972413,-84.52620817739712,0.0,0.6,2,1.0,False,True,1.0607538836052488,2,23.11822180235112,2.696,in_progress,0.0,0
0,7.0,0.3362101296015253,2.5467427056986662,-84.27220696652509,0.0,0.6,2,1.0,False,True,1.2333396894219408,2,23.11822180235112,2.769,in_progress,0.0,0
0,8.0,0.3404978025301863,2.4990260451998267,-84.37929395032704,0.0,0.6,2,1.0,False,True,1.4384480008763905,2,23.11822180235112,2.8280000000000003,in_progress,0.0,0
0,9.0,0.34397419595291223,2.4611280908736677,-84.43312678299932,0.0,0.6,2,1.0,False,True,1.6023311715562822,2,23.11822180235112,2.8970000000000002,in_progress,0.0,0
0,10.0,0.3487772242489805,2.416120177546337,-84.31814666626077,0.0,0.6,2,1.0,False,True,1.7974998709540297,3,23.11822180235112,2.972,in_progress,0.0,0
0,11.0,0.3547129604277316,2.367211747480849,-84.09073191770113,15.0,0.6,3,1.0,False,True,2.0065107032554637,3,23.11822180235112,3.037,in_progress,0.0,0
0,12.0,0.3626419200349344,2.3291882468344225,-83.1158126843011,15.0,0.6,3,1.0,False,True,2.174486377985726,3,23.11822180235112,3.099,in_progress,0.0,0
0,13.0,0.3770816532085615,2.2884855447457464,-80.95267106516805,0.0,0.6,2,1.0,False,True,2.3600772856812493,4,23.11822180235112,3.17,in_progress,0.0,0
0,14.0,0.38651187009611426,2.246102722707574,-80.34473116071908,15.0,0.6,3,1.0,False,True,2.547886082466507,4,23.11822180235112,3.234,in_progress,0.0,0
0,15.0,0.3980755623032826,2.204694089947379,-79.27213996527874,0.0,0.6,2,1.0,False,True,2.7311990276687363,4,23.11822180235112,3.301,in_progress,0.0,0
0,16.0,0.4103889829153379,2.161403780090708,-78.1843146574653,15.0,0.6,3,1.0,False,True,2.9258616525755934,4,23.11822180235112,3.365,in_progress,0.0,0
0,17.0,0.4270086913086312,2.1217687822474134,-76.2748067439778,15.0,0.6,3,1.0,False,True,3.1100845134396646,5,23.11822180235112,3.434,in_progress,0.0,0
0,18.0,0.4487147815467078,2.0831098540800563,-73.45776783656848,0.0,0.6,2,1.0,False,True,3.29613691704007,5,23.11822180235112,3.498,in_progress,0.0,0
0,19.0,0.46544233441256255,2.0442308311066992,-72.17329100784444,0.0,0.6,2,1.0,False,True,3.478456858319433,5,23.11822180235112,3.567,in_progress,0.0,0
0,20.0,0.4824667358054066,2.0009868474695454,-71.4783111968137,0.0,0.6,2,1.0,False,True,3.6791258945335277,6,23.11822180235112,3.634,in_progress,0.0,0
0,21.0,0.49882337227386764,1.9613287203519505,-70.78941431003766,0.0,0.6,2,1.0,False,True,3.8641526072950683,6,23.11822180235112,3.702,in_progress,0.0,0
0,22.0,0.5163361326315948,1.9196160618285851,-70.17345266317741,15.0,0.6,3,1.0,False,True,4.0634866486257275,6,23.11822180235112,3.769,in_progress,0.0,0
0,23.0,0.5361841626447799,1.8819162832278071,-68.78077701421806,15.0,0.6,3,1.0,False,True,4.246976512690194,6,23.11822180235112,3.831,in_progress,0.0,0
0,24.0,0.5630906289560255,1.8447123574345747,-66.10486765230209,0.0,0.6,2,1.0,False,True,4.440124857872772,7,23.11822180235112,3.901,in_progress,0.0,0
0,25.0,0.584789217889728,1.8088028150226205,-64.77538383898433,15.0,0.6,3,1.0,False,True,4.631722577420876,7,23.11822180235112,3.966,in_progress,0.0,0
0,26.0,0.6088974257595927,1.7709907404627208,-63.47390216762752,15.0,0.6,3,1.0,False,True,4.8249257586693135,7,23.11822180235112,4.034,in_progress,0.0,0
0,27.0,0.637889593579652,1.7382345227265548,-60.816383190335365,15.0,0.6,3,1.0,False,True,5.008437912038341,8,23.11822180235112,4.097,in_progress,0.0,0
0,28.0,0.6706369357201281,1.7067214518457534,-57.714361445414106,15.0,0.6,3,1.0,False,True,5.1946528783453525,8,23.11822180235112,4.167,in_progress,0.0,0
0,29.0,0.7054547636347688,1.677320448506582,-54.50021700974304,0.0,0.6,2,1.0,False,True,5.408660762224451,8,23.11822180235112,4.23,in_progress,0.0,0
0,30.0,0.73551024949752,1.6463304214856862,-52.98654452527727,30.0,0.6,4,1.0,False,True,5.591824478211793,9,23.11822180235112,4.304,in_progress,0.0,0
0,31.0,0.7736613618408154,1.611843375359776,-50.90758209771131,30.0,0.6,4,1.0,False,True,5.806707370908531,9,23.11822180235112,4.372,in_progress,0.0,0
0,32.0,0.8129013392081696,1.5871194564549158,-47.406782332247,30.0,0.6,4,0.5,False,True,6.050391230751011,9,23.11822180235112,4.4350000000000005,in_progress,0.0,0
0,33.0,0.854886304798022,1.5694695594632095,-42.93171771459967,0.0,0.6,2,0.5,False,True,6.225687613241057,10,23.11822180235112,4.501,in_progress,0.0,0
0,34.0,0.8992550045949391,1.5495032632559904,-38.99331297288833,0.0,0.6,2,0.5,False,True,6.415288643309862,10,23.11822180235112,4.567,in_progress,0.0,0
0,35.0,0.936708992286155,1.524162361532126,-38.11837680025513,0.0,0.6,2,0.5,False,True,6.7263880790923585,10,23.11822180235112,4.635,in_progress,0.0,0
0,36.0,0.9713212238480589,1.4974631914670304,-38.036317960958485,0.0,0.6,2,0.5,False,True,6.915310032479671,11,23.11822180235112,4.702,in_progress,0.0,0
0,37.0,1.0070363042361228,1.4705875682871543,-37.81123097778454,0.0,0.6,2,0.5,False,True,7.108375614687554,11,23.11822180235112,4.763,in_progress,0.0,0
0,38.0,1.0375121055937004,1.4468724153013475,-37.84396734488856,30.0,0.6,4,0.5,False,True,7.410831152220784,11,23.11822180235112,4.837,in_progress,0.0,0
0,39.0,1.0788753232811135,1.4208069983624136,-36.772264385481975,0.0,0.6,2,0.5,False,True,7.6219953794968305,12,23.11822180235112,4.908,in_progress,0.0,0
0,40.0,1.1192387854891621,1.394485401632138,-35.99029233492483,0.0,0.6,2,0.5,False,True,7.960233924341983,12,23.11822180235112,4.969,in_progress,0.0,0
0,41.0,1.154056245073521,1.368622046228115,-36.102937482829425,0.0,0.6,2,0.5,False,True,8.137829173093781,12,23.11822180235112,5.037,in_progress,0.0,0
0,42.0,1.1845626644178737,1.3469319132261446,-35.9798879445062,15.0,0.6,3,0.5,False,True,8.292151133430469,13,23.11822180235112,5.105,in_progress,0.0,0
0,43.0,1.2249413977094288,1.3247997847221518,-34.71989150259856,15.0,0.6,3,0.5,False,True,8.580798001077254,13,23.11822180235112,5.17,in_progress,0.0,0
0,44.0,1.2651210654047989,1.3086119455133474,-32.476305174054616,15.0,0.6,3,1.0,False,True,8.762036191922483,13,23.11822180235112,5.232,in_progress,0.0,0
0,45.0,1.3066344350021055,1.2952895991074063,-29.886227489066762,0.0,0.6,2,1.0,False,True,8.947435769702471,14,23.11822180235112,5.307,in_progress,0.0,0
0,46.0,1.3541855634535964,1.2756978021966183,-28.302308623975428,15.0,0.6,3,1.0,False,True,9.210236784180854,14,23.11822180235112,5.375,in_progress,0.0,0
0,47.0,1.3969657815509209,1.260093003143641,-26.78906736011188,0.0,0.6,2,1.0,False,True,9.39472450277444,14,23.11822180235112,5.434,in_progress,0.0,0
0,48.0,1.4401232533660275,1.2475560902609701,-24.830057621636744,0.0,0.6,2,1.0,False,True,9.580953278763003,15,23.11822180235112,5.5,in_progress,0.0,0
0,49.0,1.4821242037111606,1.2309266378618873,-24.098941016223794,0.0,0.6,2,1.0,False,True,9.762033822675283,15,23.11822180235112,5.564,in_progress,0.0,0
0,50.0,1.5181687739454155,1.2184453709242529,-23.309285269775994,0.0,0.6,2,1.0,False,True,9.924423886052178,15,23.11822180235112,5.633,in_progress,0.0,0
0,51.0,1.5637361917152157,1.202727485132345,-22.5088975446184,0.0,0.6,2,1.0,False,True,10.115445824196154,15,23.11822180235112,5.698,in_progress,0.0,0
0,52.0,1.6013163417741414,1.1879512967570374,-22.353780820464838,0.0,0.6,2,1.0,False,True,10.272355789825461,16,23.11822180235112,5.769,in_progress,0.0,0
0,53.0,1.6435231281372598,1.1726235337330886,-21.909204826561425,30.0,0.6,4,1.0,False,True,10.449023051226755,16,23.11822180235112,5.838,in_progress,0.0,0
0,54.0,1.693571071478835,1.162374898734231,-19.849043541745274,30.0,0.6,4,1.0,False,True,10.6495139813119,16,23.11822180235112,5.899,in_progress,0.0,0
0,55.0,1.7352401666162367,1.1619000917777011,-16.766197323098684,30.0,0.6,4,1.0,False,True,10.827853491878273,17,23.11822180235112,5.968,in_progress,0.0,0
0,56.0,1.7835431890862241,1.1620207233428137,-13.46748135929153,0.0,0.6,2,1.0,False,True,11.034974843961312,17,23.11822180235112,6.033,in_progress,0.0,0
0,57.0,1.8255217500379968,1.15729040860108,-12.309376204266135,0.0,0.6,2,1.0,False,True,11.203520019759551,17,23.11822180235112,6.096,in_progress,0.0,0
0,58.0,1.8665970898337327,1.1474507885317091,-12.51003443229475,0.0,0.6,2,1.0,False,True,11.372043853064655,17,23.11822180235112,6.178,in_progress,0.0,0
0,59.0,1.9136980395687686,1.1380709842602292,-12.273030806227505,0.0,0.6,2,0.5,False,True,11.566612820009755,18,23.11822180235112,6.235,in_progress,0.0,0
0,60.0,1.9515328615471992,1.1303077905396532,-12.163332026893881,0.0,0.6,2,0.5,False,True,11.722745421027577,18,23.11822180235112,6.301,in_progress,0.0,0
0,61.0,1.990778012064409,1.123127716700655,-11.819192325575711,15.0,0.6,3,0.5,False,True,11.88304790295995,18,23.11822180235112,6.366,in_progress,0.0,0
0,62.0,2.035899582216491,1.1208616563191944,-10.166716289419302,15.0,0.6,3,0.5,False,True,12.07395209673849,18,23.11822180235112,6.434,in_progress,0.0,0
0,63.0,2.0849455488806967,1.123076193793514,-7.621808364518723,0.0,0.6,2,0.5,False,True,12.284789368602043,19,23.11822180235112,6.498,in_progress,0.0,0
